"","TIME_PERIOD","MEASURE","MEASURE_label.en.label","INDEX","INDEX_label.en","TSEST","TSEST_label.en.label","REGION","REGION_label.en.label","FREQ","FREQ_label.en.label","obsValue","UNIT_MEASURE","UNIT_MEASURE_label.en","OBS_STATUS","OBS_STATUS_label.en"
"1650","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","97564","Other non-durable household products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1,"PCT","Percent",NA,NA
"1692","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","97564","Other non-durable household products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-5.5,"PCT","Percent",NA,NA
"1598","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","97564","Other non-durable household products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.3,"PCT","Percent",NA,NA
"1560","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","97564","Other non-durable household products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",5.4,"PCT","Percent",NA,NA
"55","2020-Q3","2","Percentage Change from Previous Period","131183","Household textiles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",2.5,"PCT","Percent",NA,NA
"56","2020-Q4","2","Percentage Change from Previous Period","131183","Household textiles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.5,"PCT","Percent",NA,NA
"57","2021-Q1","2","Percentage Change from Previous Period","131183","Household textiles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.8,"PCT","Percent",NA,NA
"58","2021-Q2","2","Percentage Change from Previous Period","131183","Household textiles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.1,"PCT","Percent",NA,NA
"59","2021-Q3","2","Percentage Change from Previous Period","131183","Household textiles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.2,"PCT","Percent","r","revised"
"60","2021-Q4","2","Percentage Change from Previous Period","131183","Household textiles","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.5,"PCT","Percent",NA,NA
"61","2020-Q3","2","Percentage Change from Previous Period","40046","Footwear for women","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.2,"PCT","Percent","r","revised"
"62","2020-Q4","2","Percentage Change from Previous Period","40046","Footwear for women","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",2.3,"PCT","Percent","r","revised"
"63","2021-Q1","2","Percentage Change from Previous Period","40046","Footwear for women","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.9,"PCT","Percent","r","revised"
"64","2021-Q2","2","Percentage Change from Previous Period","40046","Footwear for women","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",3.5,"PCT","Percent","r","revised"
"65","2021-Q3","2","Percentage Change from Previous Period","40046","Footwear for women","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-7.4,"PCT","Percent",NA,NA
"66","2021-Q4","2","Percentage Change from Previous Period","40046","Footwear for women","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",4.6,"PCT","Percent",NA,NA
"67","2020-Q3","2","Percentage Change from Previous Period","40012","Poultry","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",1.6,"PCT","Percent",NA,NA
"68","2020-Q4","2","Percentage Change from Previous Period","40012","Poultry","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.2,"PCT","Percent",NA,NA
"69","2021-Q1","2","Percentage Change from Previous Period","40012","Poultry","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"70","2021-Q2","2","Percentage Change from Previous Period","40012","Poultry","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-0.5,"PCT","Percent",NA,NA
"71","2021-Q3","2","Percentage Change from Previous Period","40012","Poultry","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",0.7,"PCT","Percent",NA,NA
"72","2021-Q4","2","Percentage Change from Previous Period","40012","Poultry","20","Seasonally Adjusted","50","Weighted average of eight capital cities","Q","Quarterly",-1.7,"PCT","Percent",NA,NA
"2014","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","115497","Tertiary education","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.2,"PCT","Percent",NA,NA
"2136","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","115497","Tertiary education","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.2,"PCT","Percent",NA,NA
"2259","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","115497","Tertiary education","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1.7,"PCT","Percent",NA,NA
"2260","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","115497","Tertiary education","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1.7,"PCT","Percent",NA,NA
"2625","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","115497","Tertiary education","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1.6,"PCT","Percent",NA,NA
"2626","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","115497","Tertiary education","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-1.6,"PCT","Percent",NA,NA
"2627","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","20005","Transport","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-4,"PCT","Percent",NA,NA
"2628","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","20005","Transport","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-4.6,"PCT","Percent",NA,NA
"2265","2021-Q1","3","Percentage Change from Corresponding Quarter of the Previous Year","20005","Transport","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.4,"PCT","Percent",NA,NA
"2266","2021-Q2","3","Percentage Change from Corresponding Quarter of the Previous Year","20005","Transport","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",10.7,"PCT","Percent",NA,NA
"1903","2021-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","20005","Transport","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",10.4,"PCT","Percent",NA,NA
"1904","2021-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","20005","Transport","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",12.5,"PCT","Percent",NA,NA
"85","2020-Q3","2","Percentage Change from Previous Period","40008","Other cereal products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-4.3,"PCT","Percent",NA,NA
"86","2020-Q4","2","Percentage Change from Previous Period","40008","Other cereal products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-0.4,"PCT","Percent",NA,NA
"87","2021-Q1","2","Percentage Change from Previous Period","40008","Other cereal products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",-2.7,"PCT","Percent",NA,NA
"88","2021-Q2","2","Percentage Change from Previous Period","40008","Other cereal products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.9,"PCT","Percent",NA,NA
"89","2021-Q3","2","Percentage Change from Previous Period","40008","Other cereal products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",0.8,"PCT","Percent",NA,NA
"90","2021-Q4","2","Percentage Change from Previous Period","40008","Other cereal products","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",2.4,"PCT","Percent",NA,NA
"1624","2020-Q3","3","Percentage Change from Corresponding Quarter of the Previous Year","104101","All groups, goods component","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.8,"PCT","Percent",NA,NA
"1625","2020-Q4","3","Percentage Change from Corresponding Quarter of the Previous Year","104101","All groups, goods component","10","Original","50","Weighted average of eight capital cities","Q","Quarterly",1.1,"PCT","Percent",NA,NA
